wavelength,offset,offset_Tcorr
400.7,-0.12839500,-0.12849600
404.1,-0.12279500,-0.12288590
407.6,-0.12389000,-0.12394050
411.4,-0.10625500,-0.10628530
414.8,-0.10113000,-0.10118050
418.5,-0.08888500,-0.08890520
422.8,-0.08130000,-0.08130000
426.7,-0.07181000,-0.07179990
430.8,-0.07818500,-0.07817490
434.8,-0.06306000,-0.06303980
438.6,-0.05711000,-0.05707970
443.0,-0.05892500,-0.05891490
447.6,-0.04916000,-0.04913980
452.0,-0.04904500,-0.04901470
456.2,-0.03685500,-0.03683480
460.1,-0.04165500,-0.04164490
464.5,-0.03449000,-0.03447990
469.1,-0.03622500,-0.03622500
473.6,-0.03789000,-0.03789000
478.5,-0.02965000,-0.02963990
483.2,-0.02594000,-0.02595010
487.6,-0.02393000,-0.02394010
491.8,-0.02557500,-0.02558510
496.0,-0.01609000,-0.01611020
500.0,-0.01948000,-0.01951030
504.5,-0.02041000,-0.02044030
509.0,-0.01460000,-0.01465050
513.7,-0.01977000,-0.01983060
518.4,-0.01412500,-0.01418560
522.7,-0.01031000,-0.01037060
527.0,-0.01612000,-0.01617050
531.1,-0.01545500,-0.01548530
535.3,-0.01256500,-0.01259530
539.6,-0.01108500,-0.01110520
543.7,-0.00924000,-0.00926020
548.0,-0.01385000,-0.01387020
552.4,-0.01458000,-0.01459010
556.7,-0.00995000,-0.00996010
560.8,-0.00916000,-0.00916000
564.9,-0.00921000,-0.00921000
569.0,-0.01211500,-0.01212510
573.2,-0.00840000,-0.00845050
577.1,-0.01061000,-0.01073120
580.3,-0.00533000,-0.00554210
584.1,-0.00114000,-0.00146320
587.5,-0.00161000,-0.00206450
591.2,-0.00529000,-0.00589600
595.4,-0.00351000,-0.00431800
599.4,-0.00089000,-0.00185960
603.6,-0.00534500,-0.00638530
608.3,-0.00203500,-0.00300460
612.2,-0.00444500,-0.00530350
616.4,-0.00490500,-0.00561200
620.9,-0.00437000,-0.00489520
624.9,-0.00396000,-0.00433370
628.9,-0.00487500,-0.00510730
633.2,-0.00447000,-0.00458110
637.2,-0.00581500,-0.00583520
641.7,-0.00529500,-0.00525460
645.6,-0.00286000,-0.00281960
649.9,-0.00425000,-0.00426010
654.4,-0.00381000,-0.00389080
658.5,-0.00253500,-0.00267640
662.8,-0.00466500,-0.00481650
667.2,-0.00525500,-0.00536610
671.6,-0.00438500,-0.00441530
675.5,-0.00430000,-0.00425960
679.8,-0.00405000,-0.00396920
683.5,-0.00554000,-0.00545920
687.4,-0.00074000,-0.00070970
691.3,-0.00292500,-0.00300580
695.0,-0.00109500,-0.00136770
698.8,0.00355000,0.00297430
702.8,0.00477000,0.00368930
706.3,0.00773000,0.00599280
710.0,0.01122500,0.00857880
713.9,0.01681000,0.01300230
717.9,0.02424000,0.01887690
721.4,0.02902500,0.02197520
725.3,0.03583500,0.02673490
728.8,0.04054500,0.02970770
732.7,0.03550000,0.02301640
736.6,0.02778000,0.01422580
